일자,KRX_300 금융 종가,KRX_300 정보기술 종가,KRX_유틸리티 종가,KRX_정보기술 종가,KRX_미디어&엔터테인먼트 종가,KRX_필수소비재 종가,KRX_경기소비재 종가,KRX_운송 종가,KRX_보험 종가,KRX_기계장비 종가,KRX_증권 종가,KRX_건설 종가,KRX_방송통신 종가,KRX_철강 종가,KRX_에너지화학 종가,KRX_은행 종가,KRX_헬스케어 종가,KRX_반도체 종가,KRX_자동차 종가,KRX 300 필수소비재 종가,KRX_300 소재 종가,KRX_300 커뮤니케이션서비스 종가,KRX_300 헬스케어 종가,KRX_300 산업재 종가,KRX_300 자유소비재 종가,코스피_중형주 종가,코스피_대형주 종가,코스피_제조업 종가,코스피_서비스업 종가,코스피_보험 종가,코스피_증권 종가,코스피_금융업 종가,코스피_통신업 종가,코스피_운수창고업 종가,코스피_건설업 종가,코스피_전기가스업 종가,코스피_유통업 종가,코스피_운수장비 종가,코스피_의료정밀 종가,코스피_전기전자 종가,코스피_기계 종가,코스피_철강금속 종가,코스피_비금속광물 종가,코스피_의약품 종가,코스피_화학 종가,코스피_종이목재 종가,코스피_섬유의복 종가,코스피_음식료품 종가,코스피_200 헬스케어 종가,코스피_200 산업재 종가,코스피 200 경기소비재 종가,코스피_200 생활소비재 종가,코스피_200 금융 종가,코스피_200 정보기술 종가,코스피_200 에너지화학 종가,코스피_200 철강소재 종가,코스피_200 중공업 종가,코스피_200 건설 종가,코스피 200 커뮤니케이션서비스 종가,코스피200제외 코스피지수 종가,코스피 200 초대형제외 지수 종가,코스피_200 중소형주 종가,코스피 200 TOP 10 종가,코스피 200 비중상한 20% 종가,코스피_200 비중상한 25% 종가,코스피_200 비중상한 30% 종가,코스피_소형주 종가,kosdaq_기술성장 종가,kosdaq_중견기업부 종가,kosdaq_벤처기업 종가,kosdaq_우량기업 종가,kosdaq_소형주 종가,kosdaq_중형주 종가,kosdaq_대형주 종가,kosdaq_IT부품 종가,kosdaq_반도체 종가,kosdaq_정보기기 종가,kosdaq_통신장비 종가,kosdaq_컴퓨터서비스 종가,kosdaq_소프트웨어 종가,kosdaq_디지털컨텐츠 종가,kosdaq_인터넷 종가,kosdaq_방송서비스 종가,kosdaq_통신서비스 종가,kosdaq_기타제조 종가,kosdaq_운송장비부품 종가,kosdaq_의료정밀기기 종가,kosdaq_일반전기전자 종가,kosdaq_기계장비 종가,kosdaq_금속 종가,kosdaq_비금속 종가,kosdaq_제약 종가,kosdaq_화학 종가,kosdaq_출판매체복제 종가,kosdaq_종이목재 종가,kosdaq_섬유의류 종가,kosdaq_음식료담배 종가,kosdaq_IT_HW 종가,kosdaq_IT_SW 종가,kosdaq_통신방송서비스 종가,kosdaq_오락문화 종가,kosdaq_금융 종가,kosdaq_운송 종가,kosdaq_유통 종가,kosdaq_건설 종가,kosdaq_제조업 종가,kosdaq_IT 종가,kosdaq_기타서비스 종가,kosdaq_자유소비재 종가,kosdaq_필수소비재 종가,kosdaq_산업재 종가,kosdaq_소재 종가,kosdaq_커뮤니케이션서비스 종가,kosdaq_헬스케어 종가,kosdaq_정보기술 종가
2022-07-01,741.57,2069.1,934.36,1291.11,2117.53,1283.72,1065.07,1092.7,1310.13,556.19,589.59,557.42,789.57,1448.16,2963.18,630.38,2810.41,2717.24,1776.07,1260.21,1346.3,1658.85,2439.29,625.0,1364.45,2731.88,2261.44,5833.87,1247.88,13424.62,1610.44,348.67,414.48,1851.4,96.28,815.89,349.82,1966.97,2394.83,21191.76,979.73,3973.18,2062.9,13981.03,5111.85,327.58,379.7,3736.0,1780.38,599.34,1479.7,890.34,595.67,2663.82,1544.8,753.11,288.9,248.0,1958.36,3025.79,228.59,1128.29,1169.63,294.75,301.39,303.47,2186.99,4377.15,1618.52,1485.41,1445.07,2694.18,663.16,1458.29,1058.71,1354.41,11.66,142.22,242.25,211.05,1125.61,12515.55,3121.67,685.51,1259.9,5550.21,1562.23,1154.04,536.28,1967.62,52481.74,7586.53,2511.34,3003.78,13882.46,115.3,9435.02,534.47,1694.84,1021.3,548.32,783.8,6796.61,456.71,82.87,2394.87,932.58,2444.73,854.02,615.39,330.37,1682.97,2535.0,2515.41,626.25
2022-06-30,738.68,2124.27,952.61,1325.99,2155.29,1274.46,1071.62,1100.87,1292.67,568.13,589.93,555.28,786.92,1448.64,3037.26,631.1,2859.67,2797.99,1771.18,1251.15,1355.24,1679.67,2477.9,627.15,1362.65,2748.79,2290.09,5921.57,1267.27,13243.09,1609.98,348.75,408.82,1871.05,95.48,819.7,351.67,1966.41,2431.48,21673.75,980.78,3965.04,2092.34,14156.5,5186.39,331.91,392.43,3684.11,1814.41,602.41,1479.31,885.34,593.38,2717.75,1578.38,750.39,291.97,246.38,1979.97,3061.34,230.66,1131.05,1187.34,297.71,304.49,306.64,2214.18,4523.13,1655.61,1522.25,1473.07,2753.25,676.33,1491.64,1091.0,1389.58,11.67,143.98,242.67,215.79,1138.76,12773.78,3116.73,697.19,1281.75,5657.72,1602.81,1193.49,549.08,1997.9,53258.06,7779.97,2578.1,3078.58,14140.54,117.31,9686.03,548.13,1721.43,1025.24,553.17,797.09,6826.96,457.33,84.34,2455.51,952.51,2518.05,866.05,623.38,342.89,1733.2,2562.29,2567.72,644.77
2022-06-29,747.44,2207.64,968.6,1376.79,2237.57,1300.76,1088.49,1117.13,1314.63,577.95,599.72,555.65,797.27,1479.91,3153.15,638.79,2850.34,2891.14,1763.77,1278.9,1398.66,1731.62,2467.27,632.35,1362.34,2780.85,2338.03,6050.98,1296.16,13433.63,1641.31,354.01,414.6,1903.92,94.13,820.56,352.72,1941.24,2443.28,22317.25,995.98,4037.05,2175.44,14270.7,5366.35,338.11,413.87,3725.43,1814.12,613.27,1478.44,900.35,600.58,2817.33,1627.6,767.16,289.37,246.77,2047.66,3108.59,234.99,1150.02,1204.85,303.23,310.12,312.29,2248.61,4566.92,1696.98,1556.31,1510.57,2814.41,690.97,1528.01,1141.43,1438.09,11.92,147.84,248.86,222.09,1169.44,13082.34,3175.87,712.73,1311.93,5669.47,1633.96,1255.92,566.78,2023.4,53379.85,7783.4,2686.56,3155.42,14812.66,119.69,10060.75,568.91,1768.92,1045.7,563.08,807.54,6923.85,453.92,84.81,2513.69,984.67,2532.62,873.86,631.36,359.17,1840.5,2618.29,2543.66,671.06
2022-06-28,767.57,2252.37,989.69,1404.92,2300.65,1291.57,1090.41,1125.59,1313.77,582.8,607.12,559.03,806.83,1515.54,3219.27,663.16,2875.81,2922.35,1836.4,1265.92,1445.88,1773.18,2487.86,632.66,1405.03,2797.82,2388.81,6175.65,1322.23,13471.73,1657.55,361.44,422.26,1924.63,93.92,811.56,348.8,2012.59,2508.06,22845.49,974.44,4142.57,2214.68,14370.39,5456.74,338.4,408.71,3776.32,1825.76,614.27,1531.7,890.57,617.04,2862.11,1670.21,789.0,286.5,248.38,2101.78,3124.01,239.31,1156.02,1240.61,309.14,316.25,318.53,2246.57,4578.1,1709.11,1560.47,1532.02,2804.07,696.14,1563.2,1177.01,1452.21,11.94,148.5,250.27,224.24,1182.56,13012.65,3219.93,708.08,1304.18,5680.21,1642.69,1290.81,566.63,1972.47,53699.97,7847.17,2717.36,3151.24,15255.78,120.54,10084.25,578.61,1785.59,1053.88,563.82,820.24,7000.92,453.19,84.17,2533.13,998.62,2562.42,882.98,639.17,364.91,1899.89,2667.4,2586.0,689.54
2022-06-27,763.41,2237.55,993.8,1396.49,2321.08,1282.54,1089.79,1113.67,1302.77,578.96,607.25,549.09,810.9,1511.07,3153.5,660.33,2887.26,2935.76,1815.45,1256.91,1416.73,1782.96,2495.23,622.66,1393.16,2771.31,2369.41,6112.14,1320.45,13355.26,1664.57,360.04,423.29,1902.07,92.13,824.08,343.81,1983.49,2460.13,22680.71,949.46,4107.88,2198.06,14283.4,5351.95,335.83,406.29,3749.52,1815.82,603.55,1516.76,889.17,613.6,2843.19,1633.96,787.75,281.45,243.33,2116.47,3100.89,237.22,1141.71,1225.27,306.36,313.38,315.63,2226.93,4643.74,1697.84,1557.48,1537.8,2785.53,695.48,1578.26,1169.32,1460.87,11.83,149.29,247.34,223.99,1172.28,12913.23,3218.49,709.57,1294.0,5646.84,1630.04,1325.01,556.81,1926.35,53741.74,7929.81,2704.29,3157.33,15218.89,119.64,10241.9,579.07,1775.11,1054.19,572.86,811.95,6822.98,454.48,82.48,2538.51,997.22,2585.15,880.01,642.13,367.57,1885.64,2684.5,2637.3,689.93
2022-06-24,766.61,2187.75,947.64,1365.25,2330.44,1260.06,1072.18,1090.03,1294.09,556.31,602.78,532.8,807.49,1486.68,3120.94,666.75,2869.88,2859.36,1736.0,1231.93,1402.33,1786.82,2486.6,604.36,1346.22,2716.17,2338.85,6006.38,1309.64,13265.0,1660.36,358.53,424.99,1847.31,89.9,810.93,337.5,1896.77,2393.74,22351.95,907.29,4056.38,2153.05,14336.13,5262.97,326.9,397.56,3684.34,1808.75,590.0,1462.01,873.06,616.37,2779.15,1619.4,775.84,269.98,236.27,2131.23,3016.84,233.56,1118.95,1202.95,302.14,309.2,311.5,2157.43,4571.06,1650.03,1505.15,1495.62,2685.09,677.53,1548.13,1141.92,1424.25,11.47,145.67,239.28,217.19,1151.66,12735.8,3155.47,684.23,1247.24,5481.89,1611.68,1244.8,539.69,1856.52,51150.42,7825.79,2638.08,3050.32,14732.99,116.62,9954.64,564.89,1733.85,1028.57,555.01,793.5,6604.74,444.06,79.69,2464.66,973.21,2528.24,863.67,633.53,355.57,1845.99,2637.05,2626.79,676.66
2022-06-23,751.29,2123.28,934.16,1324.14,2215.34,1243.28,1045.4,1074.86,1283.16,545.56,586.06,514.1,790.26,1451.24,3067.11,651.63,2723.45,2762.87,1713.63,1216.78,1378.54,1707.28,2359.45,591.59,1328.15,2630.43,2292.8,5892.11,1255.88,13207.91,1606.45,350.88,418.25,1823.03,85.68,777.92,328.95,1875.05,2237.74,21932.81,890.8,3972.77,2090.36,13857.72,5197.01,313.58,382.48,3624.69,1732.75,580.02,1443.66,858.9,604.41,2716.64,1598.88,756.47,266.08,228.59,2045.86,2905.02,228.24,1084.03,1171.79,295.59,302.58,304.89,2075.65,4344.1,1572.62,1437.13,1418.57,2583.5,645.69,1461.71,1073.88,1361.28,11.25,139.0,231.49,205.48,1078.9,12262.5,3085.08,662.14,1215.52,5235.75,1555.63,1179.62,521.81,1791.82,48829.42,7403.13,2505.16,2873.3,14013.95,111.69,9858.87,536.87,1635.91,1002.65,521.76,759.89,6512.84,415.97,76.26,2355.49,923.72,2425.06,825.6,597.8,340.35,1735.47,2476.93,2452.58,641.51
2022-06-22,764.08,2164.83,938.14,1350.69,2225.65,1241.61,1063.35,1107.44,1310.69,559.24,593.66,536.8,794.44,1502.9,3151.21,662.43,2738.17,2803.19,1723.16,1213.19,1412.34,1707.05,2363.97,606.73,1334.97,2702.11,2311.24,5958.28,1259.82,13495.78,1630.89,357.53,410.98,1891.13,88.94,794.82,334.71,1900.48,2264.11,22093.26,891.31,4113.77,2189.13,13909.85,5298.01,328.81,393.6,3660.68,1734.8,592.88,1451.86,858.29,614.44,2751.15,1633.25,779.29,270.98,238.62,2022.97,3021.51,230.65,1112.15,1170.98,298.31,305.26,307.52,2171.96,4491.43,1663.44,1516.54,1477.6,2726.24,671.08,1523.95,1145.49,1394.78,11.65,145.97,244.4,216.03,1167.45,12773.1,3186.04,699.07,1263.12,5485.83,1616.35,1276.58,547.88,1860.72,50773.32,7644.62,2648.71,3053.13,14667.73,117.43,10216.58,560.1,1744.69,1042.11,548.24,795.34,6668.15,424.79,79.81,2470.98,970.5,2487.4,867.4,642.6,360.69,1802.08,2624.55,2476.74,665.38
2022-06-21,789.18,2254.41,962.49,1409.27,2318.9,1276.01,1104.34,1145.26,1330.31,574.46,614.5,562.0,807.81,1556.94,3289.41,690.29,2773.68,2974.38,1754.29,1247.16,1467.16,1765.29,2386.55,626.66,1364.35,2802.76,2371.41,6118.56,1303.44,13628.98,1687.06,368.75,413.43,1955.92,93.59,803.86,344.05,1935.33,2367.53,22680.09,925.9,4254.71,2286.69,13987.11,5531.02,339.78,410.1,3717.54,1748.24,612.87,1481.74,879.29,634.44,2860.19,1701.65,806.18,278.71,249.67,2078.35,3140.58,237.86,1159.47,1196.92,306.73,313.64,315.8,2261.45,4660.19,1727.46,1583.86,1545.11,2835.75,704.97,1580.43,1192.78,1482.48,12.12,155.49,253.69,228.58,1238.51,13233.78,3327.99,727.81,1298.9,5769.13,1667.47,1312.07,570.89,1951.36,53798.87,7863.49,2773.68,3219.48,15422.89,120.72,10128.75,590.54,1844.49,1087.49,584.17,833.0,6842.27,433.97,84.16,2557.01,1023.71,2562.18,896.99,644.34,371.48,1901.32,2801.65,2533.52,701.4
2022-06-20,787.06,2243.08,970.04,1401.84,2261.63,1267.25,1089.57,1118.21,1320.35,560.33,604.04,562.59,804.5,1549.1,3299.26,689.68,2728.57,2958.11,1725.05,1238.74,1470.38,1734.15,2349.08,616.42,1344.01,2761.82,2357.38,6085.79,1282.94,13538.67,1660.55,365.81,414.98,1909.55,93.39,798.63,338.27,1893.79,2321.1,22636.34,910.32,4245.88,2289.51,13849.25,5532.27,336.83,400.36,3704.44,1717.45,604.19,1458.47,873.6,633.12,2834.67,1702.38,801.63,268.83,250.57,2047.75,3095.9,235.56,1145.9,1185.16,304.52,311.59,313.88,2230.34,4578.21,1712.7,1569.14,1528.16,2810.09,697.6,1559.51,1197.38,1476.97,11.95,153.86,252.89,224.88,1183.18,13018.9,3325.49,724.35,1267.27,5714.16,1618.45,1308.37,564.79,1918.43,53585.25,7724.02,2767.49,3190.06,15509.64,119.48,10101.71,589.46,1789.16,1085.42,577.5,824.49,6826.88,431.42,83.08,2527.64,1012.33,2538.29,885.09,626.92,362.69,1918.41,2719.69,2489.92,702.52
